Abn,MemberNo
26118566073,F543
26119313854,T848
26119699722,D386
26120528988,55J4
26120528988,L809
26120528988,L810
26122119186,437D
26122738615,810G
26126358791,W188
26127785180,H387
26127810204,5260
26128684205,C531
26128684305,C529
26132987874,6996
26133105265,G292
26133105265,X749
26138968326,0808
26142716342,71G9
26146062420,T058
26146960698,157I
26147372378,25B1
26148701443,19C4
26149778019,90B4
26150025161,348F
26151676443,247C
26151676443,236C
26153841492,V116
26155901727,9293
26161088259,449B
26163687102,9348
26169364921,16G5
26169866273,039C
26173271998,073U
26176780601,62B1
26177547799,574U
26180091411,295Y
26180183248,967L
26181821565,I277
26183342696,H867
26189182430,739R
26191574381,L369
26195514658,190V
26199399370,D121
26199782905,582T
26200119178,R514
26204469065,L633
26205216773,N065
26205316773,N064
26208504574,R533
26212081237,509T
26212593616,E235
26214156306,219I
26214156306,636C
26224258151,F379
26227687048,44G9
26229849386,435W
26230557634,766M
26231547567,473U
26231723953,U488
26232013749,54J3
26233240603,Y810
26234184166,502D
26234228716,V026
26235117902,125D
26236647916,4955
26237263554,700W
26237631294,I308
26237631294,Y220
26238903847,E493
26240446843,040I
26240478028,273O
26242533646,35F1
26244217393,05H1
26245378663,396J
26245954168,483H
26250608455,608S
26251690513,W555
26252346148,N292
26252346148,N293
26252463884,S313
26253816941,L924
26256471743,294S
26257523884,122X
26258668760,061S
26261514510,945Q
26264510982,P139
26267366853,B523
26267604432,4812
26267604432,S514
26268737870,992L
26271127375,950U
26273214178,W461
26273634801,P992
26275356245,43C7
26280147983,302V
26280147983,N397
26281735643,2085
26281832875,57K9
26282833193,D585
26288439581,R463
26288528875,M400
26290795487,I792
26290956677,I502
26291376489,801T
26292784086,U199
26293174706,J727
26293574808,246F
26298635618,A976
26306508477,730B
26308129309,421L
26310773473,30C7
26312686450,0579
26316434239,9353
26316553450,565Z
26316889605,421X
26316889605,2153
26317143524,814V
26321434132,D529
26321952893,37H4
26322936525,J714
26323018411,2902
26329350429,064Y
26329529013,T704
26331575968,58C6
26334417870,289Y
26335054195,V669
26337918906,630M
26338678038,5813
26339792901,H042
26339792901,H041
26349167894,97H6
26349261649,X084
26351701607,376P
26351701607,308P
26351701607,281P
26353132472,184O
26355824075,839L
26356680661,K122
26358064292,I515
26358819978,378T
26363001064,X313
26363021681,39H1
26372375647,60J6
26374656294,X205
26375197342,012N
26378507277,268O
26382761770,G572
26385504289,42G1
26385826829,Z942
26386309683,736I
26390644323,5550
26391365449,X545
26391461451,8406
26395099652,W698
26395924718,062L
26398592513,515V
26399579541,N934
26400385058,H210
26404327825,848F
26407326974,H977
26407731375,S247
26409423190,23B0
26409847360,071N
26411694688,M254
26411772983,5344
26411968933,742I
26412633727,Q931
26416454265,621J
26417480983,Y601
26418195597,49K6
26419690755,053N
26420286300,23D4
26422101245,605E
26425002352,57E8
26425422990,H028
26426253839,F327
26430401795,926R
26432250955,678E
26433872160,933F
26436505086,973R
26437919238,J663
26438383660,A624
26438521722,1090
26439782460,235F
26440571740,890S
26442124968,S317
26443485385,U218
26447790962,167F
26448758458,0339
26452317712,025X
26452645530,P859
26453708589,U506
26459664234,741J
26459945801,252T
26464621542,G211
26467585094,1339
26468187766,H836
26469021769,856H
26469479759,936Z
26470543004,72B3
26470543004,7798
26472019423,1847
26472581941,T820
26482582282,H445
26483349271,139B
26484323253,V315
26491170750,62J6
26491443234,T817
26493292296,404J
26493359910,632T
26493493948,D460
26493493948,D461
26500660029,K956
26501051103,9763
26502969323,T692
26503868649,387W
26504198195,G631
26505414092,P244
26507573476,S815
26512422941,W807
26513526884,K028
26514548872,46D9
26518182937,832P
26519664519,10B4
26519897902,379P
26520818828,1551
26520980099,634X
26523561569,31E0
26524902168,64B4
26525490563,G963
26528785341,15K3
26529116820,307X
26531363975,53B6
26532925602,964J
26534016132,4996
26535077593,49J8
26538680128,E400
26538680128,S394
26539595115,H391
26544977322,K493
26548207418,676D
26552318044,D470
26554817628,646I
26558356966,K465
26558408326,35G0
26558408326,002G
26560375918,Z325
26560379045,Y441
26560435135,80E6
26562376985,813Y
26563041698,770I
26563245586,T749
26565864063,U626
26566793630,964M
26574705251,63F8
26575721072,327Z
26578180874,276I
26578378250,689F
26578967212,G176
26579782865,U019
26580405069,K894
26580405069,K896
26581170822,83G1
26583127279,02B1
26583138954,N509
26583326793,8885
26585753159,K596
26585753159,681L
26591167804,D931
26591167820,G881
26592589813,9393
26593594861,E354
26593594861,K843
26599765209,X082
26601701017,82J6
26605869368,A134
26607283698,52G0
26611052175,I330
26613901372,971E
26615328138,393R
26615502887,09E3
26615924228,J671
26615924228,J670
26616137409,89D1
26616243406,C780
26616243406,C781
26619909450,394N
26622672888,15B3
26623372216,20J5
26627238001,131Q
26628371897,U497
26648969695,D678
26649565861,191S
26650371023,X440
26651196326,6329
26652682363,8206
26655187126,T323
26656865743,086C
26659335859,7751
26659335859,J402
26660545459,04B2
26668239315,1267
26670897119,U737
26671920560,131P
26673023995,V374
26676100716,127E
26676177040,159Q
26676512126,Q866
26678159590,I284
26681340363,M112
26681448136,497P
26689645838,944F
26691750910,K395
26696161392,P834
26696161392,2038
26696792387,G386
26698310371,S110
26698432756,A051
26698721214,V380
26700629611,985B
26704330166,651J
26705538303,038N
26705538303,086P
26706302932,U004
26711962445,113I
26713253704,Z091
26713678522,637Y
26715339286,E961
26716894265,037F
26721936218,571P
26722980643,898U
26723142913,2501
26723563314,X156
26723824198,738T
26733176539,F537
26736376984,771X
26739454579,0845
26741902475,70J0
26745795594,3426
26747040403,31D7
26748346678,I966
26750752983,0586
26753785067,U512
26759376201,91C4
26765419826,51C4
26769820729,V449
26774543779,28J1
26775412073,05B8
26775412073,03E9
26776625863,332H
26778860664,355U
26779843162,K806
26780382508,G794
26785181170,27G2
26787744744,M606
26788317808,41J8
26790861165,900G
26790921785,463M
26792113128,291P
26794209705,95C8
26797284843,715K
26798715708,476Y
26799828529,9507
26802312739,417M
26807233592,N686
26808050882,078C
26811718756,470B
26819473605,I240
26827744191,866G
26827886308,V485
26831079295,58D3
26832809272,068M
26834542785,698X
26834542785,694X
26843116899,630D
26844901082,430D
26844901082,3528
26846208292,427R
26846208292,032L
26847549495,R325
26847769907,N174
26847769907,N175
26849268477,X586
26852885662,W169
26853195930,558K
26856432884,F395
26856568359,823T
26859586204,114X
26861313566,064B
26865690498,758V
26869016170,6280
26873861714,06K8
26873873103,G802
26877199556,136X
26883230606,6692
26893563344,646V
26896313942,J599
26898495164,071K
269 1054 3217,D255
26900771857,817N
26902544947,087L
26907655696,9296
26908877042,159J
26909239975,356M
26909277527,3000
26911322810,740Q
26914034317,399C
26915887818,294O
26915887818,6638
26918185713,I950
26919467743,986F
26919467743,985F
26920138121,108N
26920588518,636W
26921155993,C038
26921606904,478T
26922380131,035J
26922437025,60B9
26927564168,S385
26940478068,729I
26941833215,K929
26942019293,122H
26944150015,573U
26945435684,J078
26951107542,J264
26951561153,8947
26952132403,E710
26952132403,P354
26952132403,330C
26952132403,331C
26952132403,345C
26954390251,H505
26954558595,605W
26958876759,937P
26959431491,70H3
26963319949,S429
26970406564,7991
26972818668,37H6
26973485379,284Y
26973790890,8379
26976284880,907T
26976328479,571T
26976794818,H168
26981345463,03B0
26981501183,I315
26984796678,124B
26988913812,705N
26993026603,106G
26996496529,649S
26997199415,70J1
26998305977,J870
27 057 495 388,1736
27 068 335 2974,C489
27 090 755 543,2576
27000223781,4783
27000360234,6918
27000694477,U204
27000776223,620H
27000944703,T180
27001683423,307G
27002175163,95B4
27003316809,71B2
27003725433,I906
27003801125,Q475
27003807243,K681
27003972332,4431
27003983088,Q702
27004672771,X093
27004943473,864I
27006818088,9192
27007568532,9380
27007586352,524T
27007664986,V195
27008196994,X916
27008199522,354Q
27008199522,K586
27008475732,956T
27009394402,277J
27009481752,814U
27009485429,I880
270104436709,F157
270104436709,F158
27010715349,9890
27014066929,803E
27014426456,J807
27015082394,6761
27016112202,27E5
27019085873,6149
27019120423,607B
27021109804,05E9
27022731386,2270
27023252670,9655
27025388645,D606
27025388645,D607
27027843237,090T
27029510223,1334
27029928992,3932
27030789563,Y490
27033276819,377E
27034341020,V633
27034645007,334Y
27038710877,V066
27043242449,G956
27046436576,319Q
27050433241,135D
27051029190,144H
27051186616,040X
27051186616,040J
27052609025,906P
27053946470,200Q
27058273490,135G
27060306363,384U
27060909543,92G3
27064755353,221O
27065910208,6494
27067153234,G297
27067673470,976X
27069246123,W642
27070491924,N210
27072815102,705T
27076691957,377M
27079406066,X917
27083686392,N498
27084955063,M411
27085283458,U317
27087939001,145O
27088340366,467M
27088581930,755R
27090381474,010K
27091010240,452N
27095903914,410K
27098710370,6578
27101270806,8810
27102203073,94G0
27104025567,563T
27105098547,4905
27107736809,C312
27108472662,689G
27110123398,976P
27110123398,K773
27110669371,D363
27110881591,N590
27110882919,11B7
27113204617,44G8
27115390488,62C8
27119494678,660Q
27121064015,648J
27125067558,62G0
27125768635,646K
27130261851,Q864
27133712624,1294
27137709704,E672
27140268779,572E
27140871884,609V
27143082655,55H7
27145206281,622T
27146007678,355I
27151100386,52D4
27151880238,724N
27155305037,G546
27155405763,H711
27156520421,921L
27157798082,055T
27157798082,580R
27157798082,3543
27161879580,79G6
27163026411,515R
27164822947,012S
27166969226,E361
27167150051,927Q
27167327192,I305
27168379922,16B3
27168379922,0591
27168379922,361L
27169414076,07E4
27169414076,X742
27170141229,V430
27173539050,169U
27179699116,W570
27182757460,U459
27183242353,J323
27187564853,K507
27190979764,416S
27193557384,H154
27193557384,H153
27194733472,09J5
27198452922,D452
27200206139,991Y
27203544862,40D1
27205459939,90F3
27211585246,713Y
27213862766,H762
27215738208,26B3
27216743256,U316
27223070468,H682
27229901442,201F
27231513147,911U
27234101551,28G1
27237022341,E612
27237961390,K670
27241837024,94G6
27243102659,239O
27247516350,T004
27247516350,T003
27248744515,V472
27252731281,1309
27253402080,T802
27259304523,W633
27261104148,547M
27266740997,1738
27273601223,204K
27276436471,51J8
27277958240,B601
27284895381,99D2
27285904205,393X
27286812021,M497
27288050078,96G0
27288050078,90G7
27291958738,H455
27293258745,94G1
27295326869,Q427
27296306711,248W
27298085433,748L
27298597989,J901
27299659786,87D9
27301800686,262J
27302743262,N275
27305141337,G435
27305591120,5546
27308165332,G365
27309123178,5798
27310335737,H650
27310335737,H785
27311627423,238P
27312134391,D384
27312958695,Y437
27316924585,117F
27319624607,Y990
27322166301,E192
27326813875,619M
27327903487,U123
27329360839,3036
27334149499,47K7
27334922591,Q049
27335880864,893L
27338314920,64B8
27338432839,011F
27339513040,N662
27339514157,S962
27339514157,353N
27340124314,S925
27340569781,596V
27348093931,57J4
27348805403,057D
27352669702,Q664
27356996727,Y165
27357627096,6892
27364896047,050Z
27367370699,X438
27367762281,7478
27368473510,Z938
27369096658,W764
27373217690,G834
27374006231,204F
27377402069,Y999
27387086726,47F1
27388591410,D594
27391330106,634V
27393511074,F456
27393653963,767N
27399338586,M110
27399656765,30K0
27400174506,650Z
27400174506,651Z
27402264722,12B2
27402430437,X333
27402430437,X715
27404991268,R178
27407691209,896E
27412150518,84F1
27414262890,430F
27415462112,G884
27417582940,74K0
27417582940,N950
27418189743,R230
27418189743,R231
27420018728,998M
27423745814,W639
27426143565,979T
27428279459,71H4
27430152892,W916
27430580713,C054
27432872214,364C
27434884167,388C
27439424590,60C5
27441770938,W157
27443955163,P185
27445104774,S835
27448016799,447V
27448016799,D690
27449441568,0740
27450830146,389V
27450830146,M303
27450830146,869P
27450830146,798R
27454317806,765I
27454972745,Q855
27456356312,K484
27458169540,P011
27458996523,18F7
27459935577,2118
27461625626,182U
27462281564,076S
27462962990,37J8
27465135356,D268
27465657261,E045
27467458102,Y971
27468937124,R459
27470509706,S334
27471639181,984R
27480793989,2065
27485284420,63D2
27486410601,U328
27486849750,8456
27490548258,7401
27491404385,W261
27491862430,747H
27496811044,H686
27498046213,F206
27498348062,I610
27498679730,024S
27501344651,3993
27501505922,Q499
27504328766,Q772
27506884112,3184
27509815372,963F
27510279787,X863
27513320663,H330
27515509742,M132
27522173844,472C
27523133165,S637
27523595885,527J
27526315018,001N
27526315018,002N
27526720353,285U
27529035608,L622
27529702799,066M
27534972994,08G9
27536772750,682L
27542902808,T063
27543458786,106J
27543997782,9778
27545103503,D498
27547530560,2874
27549499059,M040
27550691007,I727
27552534130,67D7
27553886991,478C
27557194664,227V
27566576969,642F
27572830488,R877
27573409719,L179
27573409719,L178
27574089450,S085
27574376497,G454
27576729170,460J
27576795697,Q878
27576984525,X837
27578053801,130D
27583982040,846F
27586476418,6510
27587101770,V787
27591603858,Y852
27593268338,933R
27594942619,J307
27594948543,34G9
27596797703,462D
27597800697,889C
27602633817,413M
27604987661,97D6
27605127677,504U
27607177118,73B7
27607612849,2112
27607914747,045B
27608465434,73K4
27608465434,M826
27608603253,3014
27608799758,D869
27611799232,H599
27612783128,S803
27614367407,131H
27617845682,X612
27618138006,717F
27618911275,1390
27621169209,862I
27622852071,E579
27626599109,371L
27628637361,654C
27630567164,J681
27630631160,Y377
27631120907,415K
27631538386,W402
27632063466,634M
27633595004,906H
27633602963,L584
27634145825,456H
27637571742,E884
27637623053,978G
27638502858,999Y
27638677273,65H7
27641397410,N301
27644307518,X085
27646377527,F139
27650110272,P361
27650984807,Y774
27651759815,556I
27654718551,G984
27654795431,999S
27654918551,G983
27660581482,1095
27663915809,0660
27666162275,663R
27669497217,387N
27673125952,159W
27673125952,11E9
27673789812,P050
27674982780,327S
27675487156,N609
27676317557,N121
27676469972,D261
27678176081,840I
27679288303,V382
27684950467,P702
27685770204,3560
27687589938,373D
27687628775,N182
27692412619,J527
27694932065,25H8
277 446 662 701,C930
27701184735,M694
27702139563,S698
27704873448,X218
27709507296,733W
27709507296,734W
27709769321,58B0
27710227159,D273
27710879161,5330
27711538652,979N
27713003807,3956
27715702150,057i
27715979510,A038
27719213078,063H
27725771977,2293
27726401828,N533
27727994963,0646
27728425219,D406
27728945455,898D
27732731087,N604
27734294317,F509
27734294317,966A
27735506612,279W
27739291056,54C9
27742271186,E893
27742848301,V178
27745940223,V097
27746949903,660V
27749200828,4799
27752056003,I591
27753743756,732V
27755898329,208U
27757707713,431J
27760338959,35K0
27764902559,562P
27765054003,696B
27767435732,X806
27768248130,H659
27768601970,Y697
27775604102,624K
27780145906,J781
27782329628,41J9
27789823009,2845
27790543644,X915
27791738388,0534
27793987456,074W
27796618414,U277
278 712 479,509B
27800728837,235Y
27801073935,110T
27813841582,57J3
27815537123,69B4
27815765262,612C
27816328719,67K7
27816499764,109W
27819110297,442B
27819450988,D716
27823194846,V651
27823307474,870W
27827392164,8030
27828442847,91G4
27833729280,W371
27835630096,1913
27840528571,082E
27840843256,435Q
27843745416,Q286
27843835051,48F0
27844853912,399H
27846285830,640J
27847920798,966H
27848685093,81H8
27852551126,86J3
27853556249,208G
27856294578,X794
27857825943,N099
27861931617,569R
27864610660,17F7
27866139902,L166
27867749750,9459
27869542480,338L
27870502945,38B6
27871250705,50D8
27871798411,Z955
27873156354,N461
27873447641,402F
27874055422,692F
27874095722,0685
27875052613,Q379
27878473103,1587
27881409476,875Z
27883954405,91F2
27883954405,91F3
27889607924,41J0
27890929946,69G0
27891669331,759L
27892161320,Q468
27892562264,525V
27893302593,Z841
27893969158,W493
27897263709,Z342
27899757203,453J
27902293102,704E
27907706580,P034
27910798512,1451
27912725815,884W
27913104080,067I
27914248502,G166
27914707124,236G
27915253550,637D
27915691123,677Q
27918698609,91G9
27921443267,T613
27922622881,739T
27923270982,51F3
27924640235,207O
27926453382,I402
27927214528,P515
27927214528,842I
27928720167,126N
27928864725,410S
27929117828,V508
27937094881,Z472
27947757165,V438
27948076230,586C
27949068960,750S
27949435037,H474
27949870920,91E7
27951047482,7044
27952316315,419Z
27954590719,B317
27954686440,R055
27955039254,J761
27955473263,2906
27960921361,G864
27960921361,200L
27964725164,0353
27965145025,X107
27967352047,R744
27967820914,415B
27969401375,K522
27977139947,43D7
27977139947,39D3
27977551557,S885
27977902142,324D
27983038038,M549
27983170117,M234
27986811396,K401
27987947443,8725
27994159829,507Q
27995772518,W796
28 062 312 743,A019
28 404 701 892,1A64
28000013169,89D9
28000013169,4818
28000021205,854I
28000713468,W854
28001218471,88E1
28001546451,U152
28002523138,730V
28002765657,Q736
28002968541,4992
28004113848,309T
28005220244,9267
28006293143,806A
28007340025,873S
28007666104,D170
28007683114,951S
28007975162,102K
28009371785,G434
28009497152,6419
28009788746,W978
28015772535,1638
28015835747,866Z
28019572314,X057
28020661155,430Z
28021279714,618I
28021428144,586S
28024773110,6821
28030210029,529N
28036454233,Q901
28037829893,496Z
28044792303,T938
28045123701,08F9
28046948242,50J6
28050625334,313J
28050625334,370H
28051224124,482F
28054279703,065F
28054908538,99E0
28055456520,Q028
28056587387,S024
28058494063,892Q
28058494063,893Q
28059392434,K926
28065915882,F668
28069449842,9712
28070100211,09C4
28072566344,S268
28072806801,V172
28073589287,A666
28075335572,19G4
28077073265,W496
28077577431,C016
28078795584,K524
28079814575,929U
28080216254,83G4
28080216254,L626
28080216254,E139
28080216254,U474
28080216254,V056
28080216254,604C
28081606144,Y664
28085321047,0478
28086539951,I033
28088275911,P351
28089815348,V186
28090149214,296C
28091339714,F693
28091683732,0470
28091723929,025W
28091877851,218U
28092609227,957W
28094025226,556Z
28095062749,34F1
28097212425,P205
28097805593,47K4
28098984877,E717
28099655757,H024
28100657932,H240
28100657932,3936
28101916785,03G0
28104166690,819X
28104886802,600W
28104963368,376J
28105001746,511M
28105326740,099U
28106473429,W520
28106679445,193D
28107005292,Z314
28108463378,020B
28109352758,278V
28113313766,617X
28115954917,250E
28115954917,933M
28115954917,L195
28117506591,35E0
28117623668,H218
28118089866,A532
28120359643,X264
28121340979,Y445
28121756661,13E1
28124373933,261D
28126798268,060U
28130046512,F374
28130657896,84E7
28131180066,813G
28131192907,903F
28134311942,924C
28136006737,N053
28139423744,286Z
28140338487,756I
28141059080,V642
28143364658,807A
28144761482,040Q
28144761482,041Q
28144761482,044Q
28144761482,045Q
28144761482,047Q
28144761482,048Q
28144761482,049Q
28144761482,050Q
28144761482,051Q
28144761482,052Q
28144761482,053Q
28144761482,054Q
28144761482,055Q
28144761482,056Q
28144761482,983P
28144761482,984P
28144761482,985P
28144761482,986P
28144761482,987P
28144761482,988P
28144761482,989P
28144761482,990P
28144761482,991P
28144761482,992P
28144761482,993P
28144761482,994P
28144761482,995P
28144761482,996P
28144761482,997P
28144761482,998P
28145989398,526E
28146154509,Y562
28146401851,445V
28146986589,T280
28149829689,76G8
28150558236,G375
28150607117,52B6
28151660678,07B6
28154268759,453N
28155010844,P604
28157696200,668V
28158204890,G433
28159560387,574L
28160178638,263C
28161299301,6792
28162735544,24J8
28162735544,1168
28163190186,128K
28168925569,80H6
28171316641,Z838
28172057143,3072
28178630153,38F0
28178630153,585I
28183023959,E523
28195175245,D725
28196750382,716X
28198579934,W876
28198851501,700P
28201076181,Z517
28201456875,9487
28202487692,829C
28202487692,831C
28203313757,E588
28203313757,K526
28204574576,763F
28207507716,59K6
28212129068,573Z
28214080936,76B8
28215128347,1363
28216125489,N515
28217459183,E501
28221656602,214W
28223397885,503U
28231882684,623D
28235055622,J976
28238359374,493U
28239100956,2081
28239626312,707G
28241756714,369H
28243843517,695N
28244237247,L691
28247181284,093E
28252473630,E591
28264591322,915F
28265102702,S775
28265964428,H069
28267563886,358T
28272283297,322G
28276402051,450L
28280756588,H064
28281615130,Y340
28281848997,I064
28293248619,732J
28293775017,857W
28297139627,R765
28298979526,04K7
28300495025,673Z
28301208656,T947
28301773798,695P
28302086626,L783
28302830304,W244
28306672512,M766
28309935186,099B
28310254088,1772
28310978261,67J1
28314487569,14G3
28314586050,4542
28315412034,77H5
28318639365,77C7
28318639365,H272
28320102317,8817
28323059788,4973
28324705077,S483
28327180934,T660
28330879923,879N
28331576804,S666
28335093969,T439
28340324264,353B
28341433926,845R
28343171619,137X
28344278943,330R
28346934782,157W
28347264878,5529
28347869678,3968
28347869678,C653
28350085310,1775
28352905076,U305
28354190465,1A03
28355715431,E284
28356919102,51E7
28357300946,2741
28358834087,187F
28358971636,546W
28361023166,5885
28366304096,7771
28367379841,H517
28368205906,S562
28377607538,55B8
28377836261,1057
28377924600,W161
28380699308,S142
28382257042,913N
28382813527,Q422
28383380220,499K
28385462562,515B
28386876714,D843
28391024119,390P
28392192355,842F
28392266146,L432
28402519946,50C1
28405989420,765Z
28405989420,767Z
28406007051,U422
28406654214,161G
28410475847,F652
28410978058,002C
28411373830,U229
28411663437,344N
28418334220,436U
28422639466,58J0
28422681699,I732
28427276614,Z653
28427685513,872E
28428305384,Q057
28430828421,867W
28439088697,693S
28442812420,30F2
28442831050,056L
28445953718,U178
28447376370,101O
28447812960,979Y
28447957296,I299
28452279758,574S
28453213165,D280
28453374927,976E
28454431416,3947
28454915931,979U
28454915931,0A28
28458972049,10B1
28460513047,7738
28460674809,J984
28465513717,4985
28465663286,330X
28472817692,014G
28474956233,266E
28478476860,680Z
28479046236,S499
28479735956,095Z
28480613159,863V
28480798697,7359
28481762765,48C7
28483807286,914Q
28493279874,652K
28497018467,704W
28497018467,710W
28499448084,19G7
28500186026,G658
28504200921,622C
28504654243,623M
28508814260,7788
28509388512,C044
28510789946,1782
28510802950,B415
28511718973,5494
28514618304,J846
28515263744,152P
28518554137,905V
28519021950,466M
28519149082,23H9
28519976227,536B
28523306466,T854
28528473926,493X
28531313932,63F3
28535784225,238S
28539640667,83B3
28544506974,L089
28545731031,N797
28546497620,64C0
28548132600,737N
28548941471,I465
28553093590,P238
28560329098,S636
28562690837,G101
28563081911,812U
28563288342,X458
28564003842,878N
28564653403,845S
28574283395,912Z
28576372963,0742
28576482588,621D
28585074377,N679
28589694277,K270
28591363833,Y108
28594336981,C220
28595443797,E248
28598578519,H255
28599506574,H496
28600676688,33G6
28600764671,7311
28601380665,091O
28605817818,L377
28610485562,72H2
28615545756,723J
28616585500,8216
28616746722,4308
28617773154,0202
28619284678,3749
28620704042,524B
28621376449,295X
28622471230,P685
28626487629,Q597
28626747112,720D
28626965450,736R
28629184072,H411
28629940968,552I
28631261209,059E
28631639678,X559
28631686108,233W
28631686108,237W
28634292558,49K5
28634684253,885A
28634787733,I088
28638894331,K416
28639612374,L035
28639652610,05G2
28640194369,939S
28640531817,793M
28640753879,246S
28641225921,6230
28645406423,V966
28645946536,J763
28649674766,M235
28651207907,697J
28654506238,M595
28656582678,36C4
28657282038,1651
28658237028,6354
28664095547,428E
28665831923,T884
28668532382,14E7
28670485362,12D1
28670662784,Z139
28671056595,3107
28671641027,770N
28673679570,139N
28673730627,96G6
28675706584,93H8
28675706584,64F5
28677613486,29E0
28679494490,312V
28681456326,Z832
28684880655,974Q
28685674261,Y743
28689506614,436T
28691530895,42C4
28692209869,N580
28693719893,U769
28696737883,X378
28698247211,601T
28701252742,192U
28702517956,X670
28702751172,696D
28703770794,Q187
28705682038,K443
28708688326,D758
28709829567,6580
28711275450,656U
28712070292,536L
28712487334,12H9
28713628494,625Q
28714309224,99B9
28714741500,H924
28727460990,5932
28728788438,134Q
28730212785,6507
28731490825,17K3
28733679823,596R
28737117102,X030
28739955098,I501
28745073003,I132
28745331295,H206
28747103494,V080
28751190948,865Q
28751226880,J631
28755493398,850B
28756384221,663H
28756384221,Q703
28760755358,0220
28764972726,S633
28768334183,711S
28769358179,H063
28769579126,38D5
28771625607,S029
28772146810,Z212
28774921120,044H
28775192453,V235
28775541563,W926
28779775854,R657
28780544193,646U
28782767616,921E
28782767616,109F
28785817315,Y738
28786094966,035L
28790851567,D906
28791089545,934V
28800293898,7148
28801463280,L674
28802007945,R390
28802943404,625V
28807954668,P209
28808291585,140T
28809459503,1571
28812151106,400G
28815238264,5482
28815756993,3686
28816312006,205J
28821146717,246Q
28821724631,W421
28823631533,67F5
28825173012,302H
28826378847,49E9
28826378847,47E8
28827350821,I859
28828413816,F840
28828413816,936A
28828413816,937A
28831188023,G225
28832264577,815P
28832534324,31D9
28837577594,670K
28838873319,J604
28841505786,E373
28841726571,361R
28841726571,362R
28847340519,6126
28848820125,I052
28849471732,0166
28850131838,96B3
28850131838,96B4
28851392576,B869
28853156837,X671
28853186014,119H
28858095979,459U
28858609455,463D
28868035544,D638
28868854233,95C0
28871361393,677Z
28875637275,M350
28877417380,034P
28883359879,V675
28892605387,3954
28893994732,265X
28894782446,J274
28897004514,517Y
28897004514,61B8
28899105535,76G3
28901720431,19G9
28901905591,83D1
28904059737,159M
28904972791,L639
28905165323,X990
28905816331,M757
28909291954,X286
28909989175,S953
28910310551,Z738
28910329224,77G1
28910551407,710I
28913782001,V568
28916698588,77C1
28919629784,258C
28922325257,P434
28930901485,412E
28932600590,8431
28934904964,A568
28936707344,T876
28937336714,206O
28939376756,P215
28940482662,866Y
28940602855,H338
28946684076,00B7
28954184633,348G
28954517430,8116
28958543060,77E4
28959206098,0644
28961699159,T386
28963917410,668X
28966245209,06F3
28971632988,233C
28976221380,U374
28979204928,718Z
28980404678,4889
28981063225,123D
28982297346,S664
28984257352,40J9
28987597036,8955
29 006 972 381,865A
29 089 179 751,2231
29 089 179 751,2232
29000035049,9128
29000431587,S417
29000502867,504B
29000625561,421P
29001486521,T612
29001674360,75E7
29001835776,K958
29001881509,V018
29002137895,1517
29002167185,383X
29003145601,S991
29003480822,855E
29003949077,Y642
29003949077,2625
29004571082,454L
29005388447,R890
29006708747,81C4
29006972381,610T
29006972381,F644
29006972381,F665
29006972381,C274
29006972381,C275
29006972381,799F
29006972381,563J
29006972381,564J
29006972381,963A
29006972381,943A
29006972381,901B
29006972381,665B
29006972381,666B
29006972381,667B
29006972381,668B
29006972381,669B
29006972381,671B
29006972381,999A
29007563233,544N
29008027190,22F9
29008293043,F147
29008676248,8880
29008715053,G470
29009221567,6459
29009348840,841A
29010942687,407Z
29011543001,L866
29011543001,L865
29016257643,P542
29017022489,243J
29017926173,R550
29021393275,669L
29025301693,K091
29027815382,23J5
29028365502,P110
29034431133,09D6
29036392715,E315
29036628150,882U
29041954904,T498
29042712119,F005
29042712199,F006
29042728006,509U
29043650709,C186
29045201799,47B9
29046683484,61C7
29050276978,U831
29050899453,560P
29055575632,270O
29056572693,786N
29057020910,E963
29057245404,F502
29057245404,F503
29063540259,C138
29063872575,M264
29063925986,36E9
29068094150,P823
29069433549,163O
29069936581,H483
29070099731,I696
29070956722,K251
29070956722,0091
29071359556,2522
29072399396,V945
29073352998,U829
29076884923,303G
29078065282,763Q
29078654352,176C
29080956221,420N
29082363374,E412
29083774902,S045
29084875076,43G0
29087245368,054X
29089521997,17D0
29091113987,N480
29094118224,0566
29098452183,8553
29099409004,P710
29099584973,509M
29100505770,212T
29103445384,552N
29103495598,791W
29104834707,E692
29106614957,F214
29107472003,P213
29109419561,F109
29112362480,730J
29112889228,U669
29114184893,G676
29115472275,737W
29116237757,C177
29117840596,4014
29120417848,F514
29122148414,725V
29122476313,811M
29123454663,897J
29123512729,F733
29124541877,B580
29124541877,669F
29125378456,Y068
29129594771,12K2
29130178219,F335
29131024658,325H
29133288641,348J
29134227857,005B
29136725179,2086
29136747320,I998
29140309262,F604
29141485792,230T
29142594196,8672
29146597675,403Z
29148620208,T741
29148698858,749U
29149403073,346M
29151056920,U541
29151509369,456T
29153494895,W256
29154877657,320E
29154971105,139O
29159006708,5846
29160380263,973A
29160812010,Q516
29161716595,587V
29165919432,I836
29171715365,949I
29172453243,6779
29173954664,120F
29181330346,916E
29185597340,906R
29185682136,S729
29194680070,G253
29201025026,4225
29203385625,216O
29203939465,2905
29207955311,749T
29208402927,E271
29209038016,986R
29218867431,737V
29224195896,Z248
29231946187,426E
29234845804,82H5
29234901700,9615
29236305980,2174
29238809744,T338
